	Word	PoS	FrCo		LogLike	FrTO
	views	NoC	4	-	327.8	69
	consider	Verb	15	-	327.8	99
	produced	Verb	4	-	326.8	69
	throughout	Prep	7	-	325.7	76
	bit*	NoC	807	+	324.7	517
	act	NoC	11	-	324.1	87
	red	Adj	201	+	322.6	73
	paragraph	NoC	11	-	322.5	87
	association	NoC	3	-	322.2	64
	benefits	NoC	6	-	322.0	74
	amount	NoC	63	-	321.3	190
	consultation	NoC	0	-	321.1	53
	meetings	NoC	9	-	320.6	83
	stage	NoC	55	-	319.0	175
	its	Det	218	-	318.0	420
	fridge	NoC	60	+	317.6	4
	bathroom	NoC	71	+	317.2	7
	when	Conj	2574	+	315.8	2037
	in relation to	Prep	2	-	315.6	59
	flats	NoC	16	-	314.9	98
	whether	Conj	281	-	314.5	503
	Sunday	NoP	224	+	314.0	88
	Harlow	NoP	1	-	314.0	55
	products	NoC	3	-	313.0	64
	leave	Verb	403	+	311.4	211
	previous	Adj	9	-	310.8	82
	Oxfordshire	NoP	0	-	309.8	51
	for instance	Adv	10	-	309.6	83
	rather than	Prep	38	-	309.5	143
	set	Verb	91	-	309.5	232
	press	NoC	14	-	309.4	93
	wants	Verb	291	+	309.3	133
	different	Adj	356	-	308.2	599
	review	NoC	3	-	308.2	63
	comments	NoC	15	-	307.8	94
	human	Adj	9	-	306.9	79
	regional	Adj	9	-	303.3	78
	yes	Int	4247	+	303.0	3562
	raised	Verb	5	-	302.6	67
	likes	Verb	89	+	302.4	15
	procedure	NoC	3	-	302.4	62
	unions	NoC	3	-	301.9	59
	future	Adj	4	-	301.5	63
	homes	NoC	9	-	301.4	77
	ideas	NoC	20	-	301.3	104
	movement	NoC	8	-	301.3	75
	're	Verb	4681	+	300.3	3963
	income	NoC	26	-	299.5	117
	hot	Adj	160	+	299.1	52
	coffee	NoC	153	+	299.0	48
	organization	NoC	5	-	298.8	66
	history	NoC	20	-	298.8	104
	granddad	NoC	61	+	298.4	5
	often	Adv	93	-	297.9	232
	significant	Adj	4	-	297.9	64
	legislation	NoC	1	-	297.0	53
	card	NoC	158	+	296.6	51
	life	NoC	185	-	296.4	366
	achieve	Verb	4	-	295.9	63
	gets	Verb	297	+	295.4	140
	matters	NoC	8	-	294.1	74
	rate	NoC	32	-	293.5	127
	hmm	Int	72	+	293.4	9
	subject	NoC	18	-	293.4	99
	God	NoP	418	+	292.8	227
	Jonathan	NoP	70	+	292.5	8
	rights	NoC	8	-	292.3	74
	proposal	NoC	2	-	291.7	55
	loads	NoC	116	+	291.6	29
	bread	NoC	111	+	291.4	26
	dear	NoC	70	+	291.1	8
	funding	NoC	2	-	290.7	55
	ho	Int	53	+	290.1	3
	detail	NoC	7	-	289.7	71
	ya	Int	59	+	289.5	5
	such as	Prep	6	-	289.2	69
	United	NoP-	3	-	288.9	58
	child	NoC	61	-	288.8	178
	growth	NoC	3	-	288.8	59
	ensure	Verb	3	-	288.8	60
	far	Adv	135	-	288.5	292
	add	Verb	45	-	287.5	150
	account	NoC	22	-	287.1	106
	responsibility	NoC	14	-	287.0	87
	ever so	Adv	74	+	286.9	10
	biscuits	NoC	62	+	286.9	6
	agricultural	Adj	1	-	286.6	52
	skills	NoC	5	-	286.1	63
	agenda	NoC	5	-	286.1	65
	taken	Verb	138	-	285.9	295
	ta	Int	54	+	284.8	4
	if	Conj	4120	-	284.6	4835
	answer	NoC	54	-	284.2	164
	bastard	NoC	46	+	283.5	1
	circumstances	NoC	9	-	283.2	76
	able	Adj	226	-	283.0	417
	all	DetP	4027	+	282.1	3383
	impact	NoC	4	-	281.3	60
	labour*	NoC	14	-	280.9	88
	scale	NoC	10	-	280.6	78
	century	NoC	6	-	280.2	66
	united	Adj	13	-	280.1	84
	K / k	Lett	37	-	279.6	133
	carried	Verb	21	-	279.5	102
	nan	NoC	45	+	278.4	1
	suppose	Verb	380	+	278.1	203
	successful	Adj	7	-	277.8	69
	dee	Uncl	41	+	277.6	1
	using	Verb	82	-	277.6	208
	effectively	Adv	3	-	277.4	55
	reports	NoC	9	-	277.0	75
	commission	NoC	5	-	277.0	64
	almost	Adv	54	-	276.9	162
	capital	NoC	14	-	276.8	87
	mayor	NoC	3	-	276.2	57
	box	NoC	201	+	276.1	80
	sat	Verb	131	+	275.8	39
	parish	NoC	4	-	275.3	61
	received	Verb	8	-	275.3	71
	population	NoC	8	-	274.2	70
	became	Verb	8	-	273.3	70
	south	NoC	43	-	273.3	143
	protection	NoC	3	-	273.3	56
	own	DetP	315	-	273.2	530
	principle	NoC	3	-	272.4	55
	biscuit	NoC	46	+	272.2	2
	moment	NoC	183	-	272.2	355
	towards	Prep	58	-	272.0	168
	schemes	NoC	2	-	271.8	54
	going*	Verb	2465	+	271.6	1976
	procedures	NoC	3	-	271.4	57
	new	Adj	454	-	271.0	705
	involved	Verb	16	-	270.9	89
	executive	NoC	2	-	270.8	52
	standards	NoC	4	-	270.6	57
	F / f	Lett	56	-	270.2	165
	use	NoC	41	-	270.0	138
	vote	NoC	8	-	269.9	70
	Yorkshire	NoP	25	-	269.8	108
	court	NoC	37	-	269.7	132
	element	NoC	5	-	269.1	60
	dear	Adj	80	+	268.9	14
	phoned	Verb	93	+	268.9	20
	page	NoC	68	-	268.8	184
	garden	NoC	146	+	268.7	48
	cup	NoC	178	+	268.6	67
	as well	Adv	657	+	267.5	420
	aunty	NoC	47	+	266.5	2
	director	NoC	6	-	266.2	65
	applications	NoC	1	-	266.1	46
	comment	NoC	10	-	265.9	75
	relevant	Adj	3	-	265.7	53
	server	NoC	0	-	265.5	44
	essentially	Adv	1	-	265.2	47
	agreement	NoC	7	-	265.1	66
	considered	Verb	5	-	264.9	62
	Geoff	NoP	65	+	264.4	8
	because of	Prep	73	-	264.4	190
	great	Adj	250	-	264.1	441
	main	Adj	66	-	263.4	179
	requirement	NoC	0	-	262.8	43
	generally	Adv	16	-	262.5	89
	aye	Int	539	+	261.5	329
	that	Adv	225	+	261.4	98
	E / e	Lett	167	-	261.1	328
	second	Ord	136	-	260.8	284
	his	Det	1556	+	260.2	1181
	negative	Adj	4	-	260.2	58
	shall	VMod	363	+	260.2	196
	requirements	NoC	1	-	258.6	47
	N / n	Lett	84	-	258.4	207
	nanny	NoC	39	+	257.4	1
	jobs	NoC	53	-	257.3	156
	Friday	NoP	225	+	257.2	99
	control	NoC	32	-	256.9	118
	factors	NoC	3	-	256.8	53
	provided	Verb	5	-	256.6	61
	simple	Adj	30	-	256.3	115
	necessarily	Adv	18	-	256.2	90
	Mark	NoP	120	+	255.8	35
	work	NoC	457	-	255.4	700
	ready	Adj	199	+	255.3	82
	glasses	NoC	73	+	255.2	12
	laugh	Verb	62	+	254.9	8
	rural	Adj	1	-	254.5	47
	Nottingham	NoP	14	-	254.3	83
	force	NoC	10	-	254.2	74
	person	NoC	153	-	254.1	306
	seconded	Verb	1	-	253.8	44
	economy	NoC	8	-	253.8	67
	voluntary	Adj	4	-	253.4	55
	order	NoC	51	-	252.8	152
	develop	Verb	5	-	252.4	59
	systems	NoC	8	-	252.2	67
	washing	NoC	80	+	251.8	15
	range	NoC	17	-	251.7	88
	wash	Verb	78	+	251.4	14
	peasant	NoC	0	-	251.2	42
	councillors	NoC	1	-	251.0	44
	hi	Int	73	+	250.7	12
	'	Gen	74	-	250.3	188
	weekend	NoC	149	+	250.3	53
	access	NoC	11	-	249.9	75
	urban	Adj	1	-	249.8	43
	like	Conj	108	+	249.1	29
	final	Adj	14	-	248.8	81
	fuck	NoC	38	+	248.7	1
	east	NoC	20	-	248.7	94
	garage	NoC	82	+	248.4	17
	pair	NoC	98	+	247.8	24
	tape	Verb	43	+	247.6	2
	success	NoC	9	-	247.0	69
	suggested	Verb	8	-	246.7	66
	advance	NoC	8	-	246.7	66
